City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,72.99,73,68,13.04,broken clouds
1,Hobart,AU,-42.8794,147.3294,63.05,49,75,8.05,broken clouds
2,Bluff,NZ,-46.6,168.3333,50.81,59,57,20.67,broken clouds
3,Kieta,PG,-6.2167,155.6333,83.07,77,96,6.96,moderate rain
4,Bethel,US,41.3712,-73.414,48.51,59,75,19.57,broken clouds
5,Mount Isa,AU,-20.7333,139.5,89.37,18,0,16.11,clear sky
6,Teya,RU,60.3778,92.6267,1.94,95,100,6.11,light snow
7,Aswan,EG,24.0934,32.907,61.9,82,0,4.61,clear sky
8,Iqaluit,CA,63.7506,-68.5145,-16.31,62,20,9.22,few clouds
9,Lagoa,PT,39.05,-27.9833,61.41,75,0,7.54,clear sky
10,Dunedin,NZ,-45.8742,170.5036,54.81,78,94,14.0,overcast clouds
11,Dikson,RU,73.5069,80.5464,22.53,95,100,14.0,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,50.49,54,76,9.91,broken clouds
13,Barrow,US,71.2906,-156.7887,28.42,86,100,10.36,overcast clouds
14,Shache,CN,38.4167,77.2406,21.34,17,96,3.8,overcast clouds
15,Port Hedland,AU,-20.3167,118.5667,93.25,52,9,12.66,clear sky
16,Jamestown,US,42.097,-79.2353,31.59,83,100,16.11,mist
17,Teguldet,RU,57.3064,88.1667,-8.25,98,92,4.07,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,56.8,83,100,3.58,overcast clouds
19,Albany,US,42.6001,-73.9662,40.59,72,57,12.64,broken clouds
20,Jalu,LY,29.0331,21.5482,54.12,49,0,3.24,clear sky
21,New Norfolk,AU,-42.7826,147.0587,62.71,33,10,2.89,clear sky
22,Atuona,PF,-9.8,-139.0333,78.12,74,74,13.09,light rain
23,Bredasdorp,ZA,-34.5322,20.0403,61.83,83,88,4.47,overcast clouds
24,Kankakee,US,41.15,-87.8667,24.01,73,0,14.97,clear sky
25,Soe,ID,-9.8607,124.284,81.18,54,91,5.08,overcast clouds
26,Ahipara,NZ,-35.1667,173.1667,63.27,64,94,13.76,overcast clouds
27,Ribeira Grande,PT,38.5167,-28.7,61.77,78,7,1.99,clear sky
28,Surovikino,RU,48.6078,42.8486,23.52,50,14,12.57,few clouds
29,Manokwari,ID,-0.8667,134.0833,82.0,75,100,5.46,overcast clouds
30,Sistranda,NO,63.7256,8.834,35.56,89,100,7.4,overcast clouds
31,Huarmey,PE,-10.0681,-78.1522,67.08,83,94,7.34,overcast clouds
32,Selam,IN,11.65,78.1667,70.0,94,40,3.44,mist
33,Lebu,CL,-37.6167,-73.65,52.77,77,0,20.74,clear sky
34,Butaritari,KI,3.0707,172.7902,81.45,76,26,12.91,light rain
35,Svetlaya,RU,46.5389,138.3297,7.5,61,92,15.93,overcast clouds
36,Altoona,US,40.5187,-78.3947,33.84,62,11,3.0,few clouds
37,Caceres,ES,39.522,-6.3748,46.81,93,100,5.03,overcast clouds
38,Kapaa,US,22.0752,-159.319,80.92,74,0,18.41,clear sky
39,Sassandra,CI,4.95,-6.0833,75.97,89,100,2.39,overcast clouds
40,Dogondoutchi,NE,13.6393,4.0287,69.75,21,9,9.4,clear sky
41,Sitka,US,57.0531,-135.33,26.49,43,0,9.22,clear sky
42,Victoria,HK,22.2855,114.1577,63.32,72,100,11.01,overcast clouds
43,Slonim,BY,53.0867,25.3219,19.08,96,50,5.55,scattered clouds
44,Cape Town,ZA,-33.9258,18.4232,65.26,86,40,3.44,scattered clouds
45,Yulara,AU,-25.2406,130.9889,87.6,13,0,7.34,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,48.31,57,20,29.93,few clouds
47,Colac,AU,-38.3333,143.5833,60.17,51,73,6.35,broken clouds
48,Hithadhoo,MV,-0.6,73.0833,81.07,69,49,8.1,scattered clouds
49,Betsiamites,CA,48.9413,-68.646,36.0,95,100,11.59,snow
50,Tasiilaq,GL,65.6145,-37.6368,37.56,91,97,11.34,overcast clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,75,9.22,light snow
52,Adrar,MR,20.5022,-10.0711,64.4,23,57,7.45,broken clouds
53,Manaure,CO,11.7751,-72.4445,77.56,82,6,11.97,clear sky
54,La Ronge,CA,55.1001,-105.2842,-9.15,70,100,6.91,overcast clouds
55,Georgetown,MY,5.4112,100.3354,84.88,82,20,5.99,few clouds
56,Rio Gallegos,AR,-51.6226,-69.2181,51.85,46,75,6.91,broken clouds
57,Ushuaia,AR,-54.8,-68.3,49.66,46,20,9.22,few clouds
58,Volodarka,UA,49.5248,29.9122,25.68,85,87,5.41,overcast clouds
59,Estancia,BR,-11.2683,-37.4383,72.18,94,87,5.64,overcast clouds
60,Salalah,OM,17.0151,54.0924,71.69,64,0,2.3,clear sky
61,Kangaatsiaq,GL,68.3065,-53.4641,17.4,77,100,30.22,overcast clouds
62,Katsuura,JP,35.1333,140.3,55.69,85,100,16.75,overcast clouds
63,Severo-Kurilsk,RU,50.6789,156.125,29.39,62,89,21.56,overcast clouds
64,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,8.05,broken clouds
65,Roma,US,43.2128,-75.4557,35.96,69,100,23.02,overcast clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,64.09,99,100,9.22,moderate rain
67,Khandyga,RU,62.6667,135.6,-30.64,92,100,1.88,overcast clouds
68,Chuy,UY,-33.6971,-53.4616,69.51,90,48,12.86,scattered clouds
69,Kodiak,US,57.79,-152.4072,26.11,74,100,4.61,overcast clouds
70,Airai,TL,-8.9266,125.4092,72.41,67,83,2.24,broken clouds
71,Beloha,MG,-25.1667,45.05,70.27,87,100,7.99,overcast clouds
72,Khatanga,RU,71.9667,102.5,-20.9,94,100,8.59,overcast clouds
73,Ponta Do Sol,PT,32.6667,-17.1,69.71,77,70,8.34,broken clouds
